session_id,institution_id,date_time,teacher_present,students_present,attentive_students,distracted_students,phone_usage
48,INST_3,2025-07-31 22:25:32.295633,Yes,36,11,25,13
49,INST_1,2025-08-07 05:25:32.295633,Yes,40,21,19,12
50,INST_1,2025-08-08 04:25:32.295633,Yes,33,6,27,11
51,INST_1,2025-08-07 06:25:32.295633,Yes,45,29,16,3
52,INST_4,2025-08-17 05:25:32.295633,Yes,37,30,7,0
53,INST_2,2025-08-04 06:25:32.295633,No,28,24,4,2
54,INST_2,2025-08-08 07:25:32.295633,Yes,59,59,0,0
55,INST_5,2025-08-09 02:25:32.295633,Yes,39,12,27,11
56,INST_5,2025-08-22 05:25:32.295633,Yes,54,37,17,10
57,INST_3,2025-08-28 04:25:32.295633,Yes,51,41,10,2
58,INST_1,2025-08-12 03:25:32.295633,Yes,53,12,41,10
59,INST_3,2025-08-18 22:25:32.295633,Yes,21,20,1,0
60,INST_1,2025-08-06 06:25:32.295633,Yes,41,41,0,0
61,INST_3,2025-08-26 04:25:32.295633,No,55,42,13,9
62,INST_4,2025-08-28 01:25:32.295633,Yes,37,15,22,4
63,INST_1,2025-08-27 00:25:32.295633,Yes,52,20,32,14
64,INST_3,2025-08-10 22:25:32.295633,Yes,45,45,0,0
65,INST_4,2025-08-16 07:25:32.295633,Yes,43,28,15,15
66,INST_4,2025-08-22 01:25:32.295633,Yes,24,9,15,5
67,INST_3,2025-08-29 01:25:32.295633,Yes,37,19,18,2
68,INST_4,2025-08-04 00:25:32.295633,Yes,56,10,46,1
69,INST_3,2025-08-11 01:25:32.295633,Yes,49,18,31,3
70,INST_1,2025-08-20 04:25:32.295633,Yes,59,50,9,3
71,INST_4,2025-08-17 00:25:32.295633,Yes,53,10,43,10
72,INST_3,2025-08-10 23:25:32.295633,Yes,26,10,16,0
73,INST_2,2025-08-23 04:25:32.295633,Yes,39,23,16,15
74,INST_3,2025-08-04 06:25:32.295633,Yes,32,31,1,0
75,INST_3,2025-08-15 23:25:32.295633,Yes,53,36,17,7
76,INST_1,2025-08-30 00:25:32.295633,Yes,60,9,51,0
77,INST_2,2025-08-13 02:25:32.295633,Yes,43,28,15,9
78,INST_1,2025-08-22 23:25:32.295633,Yes,55,34,21,13
79,INST_2,2025-08-22 23:25:32.295633,No,24,14,10,0
80,INST_4,2025-08-01 22:25:32.295633,Yes,47,11,36,6
81,INST_2,2025-08-19 04:25:32.295633,Yes,34,26,8,7
82,INST_1,2025-08-02 01:25:32.295633,Yes,40,33,7,2
83,INST_4,2025-08-22 06:25:32.295633,No,21,10,11,2
84,INST_2,2025-08-07 05:25:32.295633,Yes,58,22,36,14
85,INST_4,2025-08-26 04:25:32.295633,No,24,20,4,4
86,INST_2,2025-08-24 02:25:32.295633,Yes,40,21,19,7
87,INST_1,2025-08-10 22:25:32.295633,Yes,26,18,8,2
88,INST_2,2025-08-02 22:25:32.295633,Yes,36,26,10,10
89,INST_3,2025-08-21 02:25:32.295633,No,28,7,21,2
90,INST_5,2025-08-18 01:25:32.295633,Yes,32,30,2,0
91,INST_2,2025-07-31 23:25:32.295633,Yes,49,30,19,11
92,INST_4,2025-08-18 23:25:32.295633,Yes,58,31,27,3
93,INST_4,2025-08-01 22:25:32.295633,Yes,36,24,12,5
94,INST_2,2025-08-23 07:25:32.295633,Yes,33,29,4,1
95,INST_4,2025-08-14 06:25:32.295633,No,49,5,44,5
96,INST_5,2025-08-04 04:25:32.295633,Yes,46,25,21,15
97,INST_2,2025-08-24 02:25:32.295633,Yes,52,41,11,1
98,INST_1,2025-08-03 05:25:32.295633,Yes,23,10,13,0
99,INST_5,2025-08-26 03:25:32.295633,Yes,53,33,20,5
100,INST_4,2025-08-15 01:25:32.295633,Yes,33,24,9,8
